A,0,0,3,29
A,1,0,2,29
A,1,0,3,29
A,0,0,1,29
A,0,2,3,29
A,1,0,0,30
A,1,2,2,30
B,0,1,3,30
B,1,1,2,28
A,0,0,2,29
A,1,0,1,30
A,1,2,3,30
B,1,1,3,28
A,0,2,1,29
A,1,2,0,29
B,0,1,1,28
B,1,1,0,30
A,0,0,0,29
A,0,2,2,29
A,1,2,1,29
B,0,1,2,30
B,1,1,1,30
A,0,2,0,29
B,0,1,0,28
A,1,1,3,30
B,1,0,3,30
A,0,1,2,30
A,1,1,1,28
B,0,0,2,30
B,1,0,1,29
B,1,2,3,30
A,0,1,3,30
A,1,1,2,30
B,0,0,3,30
B,1,0,2,30
A,0,1,0,30
B,0,0,0,29
B,0,2,2,28
B,1,2,1,29
A,0,1,1,30
A,1,1,0,28
B,0,0,1,29
B,0,2,3,29
B,1,0,0,30
B,1,2,2,30
B,0,2,0,30
B,0,2,1,28
B,1,2,0,29
